Serving HTTP on 0.0.0.0 port 51442 (http://0.0.0.0:51442/) ...
172.17.0.1 - - [22/Jan/2025 10:38:56] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [22/Jan/2025 10:38:56] "GET /elements.css HTTP/1.1" 200 -
172.17.0.1 - - [22/Jan/2025 10:38:56] "GET /data/swordParts.json HTTP/1.1" 200 -
172.17.0.1 - - [22/Jan/2025 10:38:56] "GET /data/monsters.json HTTP/1.1" 200 -
172.17.0.1 - - [22/Jan/2025 10:38:56] code 404, message File not found
172.17.0.1 - - [22/Jan/2025 10:38:56] "GET /game.js HTTP/1.1" 200 -
172.17.0.1 - - [22/Jan/2025 10:38:56] "GET /favicon.ico HTTP/1.1" 404 -
172.17.0.1 - - [22/Jan/2025 10:39:31] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [22/Jan/2025 10:39:31] "GET /elements.css HTTP/1.1" 304 -
172.17.0.1 - - [22/Jan/2025 10:39:31] "GET /data/monsters.json HTTP/1.1" 304 -
172.17.0.1 - - [22/Jan/2025 10:39:31] "GET /data/swordParts.json HTTP/1.1" 304 -
172.17.0.1 - - [22/Jan/2025 10:39:31] "GET /game.js HTTP/1.1" 304 -
172.17.0.1 - - [22/Jan/2025 10:41:30] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [22/Jan/2025 10:41:54] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [22/Jan/2025 10:42:15] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [22/Jan/2025 10:42:18] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [22/Jan/2025 10:42:21] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [22/Jan/2025 10:42:24] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [22/Jan/2025 10:42:27] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [22/Jan/2025 10:42:30] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [22/Jan/2025 10:42:33] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [22/Jan/2025 10:42:36] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [22/Jan/2025 10:42:39] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [22/Jan/2025 10:42:42] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [22/Jan/2025 10:42:43] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [22/Jan/2025 10:42:43] "GET /elements.css HTTP/1.1" 304 -
172.17.0.1 - - [22/Jan/2025 10:42:43] "GET /data/swordParts.json HTTP/1.1" 304 -
172.17.0.1 - - [22/Jan/2025 10:42:43] "GET /data/monsters.json HTTP/1.1" 304 -
172.17.0.1 - - [22/Jan/2025 10:42:56] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [22/Jan/2025 10:43:34] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [22/Jan/2025 10:43:34] "GET /elements.css HTTP/1.1" 304 -
172.17.0.1 - - [22/Jan/2025 10:43:34] "GET /data/monsters.json HTTP/1.1" 304 -
172.17.0.1 - - [22/Jan/2025 10:43:34] "GET /data/swordParts.json HTTP/1.1" 304 -
172.17.0.1 - - [22/Jan/2025 10:43:57] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [22/Jan/2025 10:44:09] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [22/Jan/2025 10:44:21] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [22/Jan/2025 10:44:24] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [22/Jan/2025 10:44:28] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [22/Jan/2025 10:44:28] "GET /elements.css HTTP/1.1" 304 -
172.17.0.1 - - [22/Jan/2025 10:44:28] "GET /data/swordParts.json HTTP/1.1" 304 -
172.17.0.1 - - [22/Jan/2025 10:44:28] "GET /data/monsters.json HTTP/1.1" 304 -
172.17.0.1 - - [22/Jan/2025 10:44:28] "GET /game.js HTTP/1.1" 200 -
172.17.0.1 - - [22/Jan/2025 10:44:28] "GET /monster.js HTTP/1.1" 200 -
172.17.0.1 - - [22/Jan/2025 10:44:28] "GET /sword.js HTTP/1.1" 200 -
172.17.0.1 - - [22/Jan/2025 10:44:37] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [22/Jan/2025 10:44:38] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [22/Jan/2025 10:44:45] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [22/Jan/2025 10:46:05] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [22/Jan/2025 10:46:17] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [22/Jan/2025 10:46:29] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [22/Jan/2025 10:46:44] "GET / HTTP/1.1" 304 -
